Species,Molar Mass,ω,Tc (K),Pc (bar),Zc,Vc (cm³/mol),Tb (K)
Methane,16.043,0.012,190.6,45.99,0.286,98.6,111.4
Ethane,30.07,0.1,305.3,48.72,0.279,145.5,184.6
Propane,44.097,0.152,369.8,42.48,0.276,200.0,231.1
n-Butane,58.123,0.2,425.1,37.96,0.274,255.0,272.7
n-Pentane,72.15,0.252,469.7,33.7,0.27,313.0,309.2
n-Hexane,86.177,0.301,507.6,30.25,0.266,371.0,341.9
n-Heptane,100.204,0.35,540.2,27.4,0.261,428.0,371.6
n-Octane,114.231,0.4,568.7,24.9,0.256,486.0,398.8
n-Nonane,128.258,0.444,594.6,22.9,0.252,544.0,423.0
n-Decane,142.285,0.49,617.7,21.1,0.248,604.0,447.3
Isobutane,58.123,0.181,408.1,36.48,0.296,262.7,261.4
Isocutane,114.231,0.302,544.0,25.68,0.266,468.0,372.4
Cyclopentane,70.134,0.196,511.8,45.02,0.273,258.0,322.4
Cyclohexane,84.161,0.21,553.6,40.73,0.273,308.0,353.9
Methylcyclopentane,84.161,0.23,532.8,37.85,0.272,319.0,345.0
Methylcyclohexane,98.188,0.235,572.2,34.71,0.269,368.0,374.1
Ethylene,28.054,0.087,282.3,50.4,0.281,131.0,169.4
Propylene,42.081,0.14,365.6,46.65,0.289,188.4,225.5
1-Butene,56.108,0.191,420.0,40.43,0.277,239.3,266.9
cis-2-Butene,56.108,0.205,435.6,42.43,0.273,233.8,276.9
trans-2-Butene,56.108,0.218,428.6,41.0,0.275,237.7,274.0
1-Hexene,84.161,0.28,504.0,31.4,0.265,354.0,336.3
Isobutylene,56.108,0.194,417.9,40.0,0.275,238.9,266.3
"1,3-Butadiene",54.092,0.19,425.2,42.77,0.267,224.0,268.7
Cyclohexene,82.145,0.212,560.4,43.5,0.272,291.0,355.2
Acetylene,26.038,0.187,308.3,61.39,0.271,113.0,189.4
Benzene,78.114,0.21,562.2,48.94,0.271,259.3,353.3
Toluene,92.141,0.262,591.8,41.06,0.264,316.0,383.8
Ethylbenzene,106.167,0.303,617.2,36.1,0.269,363.0,409.3
Cumene,120.194,0.326,631.1,32.9,0.266,407.0,425.6
o-Xylene,106.167,0.322,617.3,35.36,0.269,357.0,417.3
m-Xylene,106.167,0.326,617.1,35.05,0.263,376.0,412.5
p-Xylene,106.167,0.322,616.2,35.36,0.263,369.0,412.3
Styrene,104.152,0.297,636.0,34.8,0.256,352.0,418.5
Naphthalene,128.174,0.302,748.4,40.51,0.269,413.0,491.2
Biphenyl,154.211,0.358,789.8,35.8,0.26,473.0,528.3
Formaldehyde,30.026,0.282,408.8,65.9,0.223,115.4,254.1
Acetaldehyde,44.053,0.291,466.0,55.95,0.241,198.5,293.2
Methyl acetate,74.079,0.331,506.6,47.5,0.257,228.0,350.0
Ethyl acetate,88.106,0.365,523.0,41.05,0.239,282.0,355.1
Acetone,58.08,0.307,508.2,47.01,0.235,209.0,329.8
Methyl ethyl ketone,72.107,0.327,536.1,40.29,0.243,279.0,350.4
Diethyl ether,74.123,0.281,466.7,36.4,0.263,280.0,307.8
Methyl t-butyl ether,88.15,0.299,497.0,33.2,0.249,364.0,328.4
Methanol,32.042,0.564,512.6,80.97,0.224,118.0,337.7
Ethanol,46.069,0.644,514.0,61.48,0.241,167.0,351.4
1-Propanol,60.096,0.622,536.8,51.75,0.254,219.0,370.4
1-Butanol,74.123,0.589,563.0,44.24,0.263,290.0,390.5
1-Hexanol,102.177,0.579,611.4,35.1,0.263,352.0,412.9
2-Propanol,60.096,0.668,508.3,47.62,0.255,213.0,355.0
Phenol,94.113,0.424,694.3,61.3,0.243,229.0,455.8
